index,Geography,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,migration rate,migration st. dev. ,unemployment rate,unemployment st. dev.,birth rate,birth st. dev,death rate,death st. dev.,01-Apr,May-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,<1-9999,"10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-64,999","65,000-74,999",White,Latino,Black,Asian,Initial Population,Initial Amenities,Population Density,prop_of_pop_modeled,emp_density,world_side_size,prop_tertiary_job,prop_tertiary_people,pareto_alpha,job_1_amenity_effect,job_1_price_effect,job_2_amenity_effect,job_2_price_effect,vacant_amenity_effect,vacant_price_effect,hood_price_effect,hood_amenities_effect,real_modeled_population
1,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",0.054957577,0.265716873,0.294121198,0.365219876,0.437445152,0.511382429,0.583779122,0.665445196,0.754482142,0.847924146,0.930457001,0.160071171,0.238730109,0.363478711,0.473323189,0.611509725,0.731940925,0.788341594,0.752511312,0.779343464,0.928776586,0.957553732,0.001438372,0.000651169,0.0672,0.007138627,0.011564186,0.000100739,0.009582061,0.000230032,0.078894244,0.254358598,0.27927867,0.392268982,0.52749418,0.633607325,0.718596362,0.794187248,0.856188002,0.913166105,0.961286958,0.172080459,0.259411788,0.417972112,0.545983024,0.686335527,0.815988453,0.862031066,0.652309833,0.698244473,0.899872605,0.941181254,400,48,1415,0.002156172,44,11,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,185514
2,"Akron, OH Urbanized Area",0.05609439,0.244644087,0.283088333,0.378833816,0.460747748,0.533932262,0.603162918,0.676304451,0.75436355,0.838099552,0.924996787,0.214414584,0.322074246,0.492824056,0.633457036,0.776936376,0.87151445,0.906895263,0.802598439,0.815011183,0.945213402,0.96723923,-4.24E-05,0.001231883,0.0902,0.014593149,0.010759792,0.000144083,0.009840729,0.000218255,0.06682202,0.207499957,0.302850247,0.524446661,0.665075871,0.745452617,0.800677593,0.846770541,0.891851686,0.932619052,0.96978348,0.354722211,0.486039972,0.665795272,0.792075324,0.893163161,0.946477086,0.962752481,0.738752192,0.757234468,0.912124738,0.950099998,400,32,1459,0.000842771,44,18,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,474625
3,"Albany--Schenectady, NY Urbanized Area",0.052851609,0.230266666,0.275382945,0.378609507,0.459058537,0.536918138,0.605957158,0.679537707,0.760466026,0.846251958,0.928370756,0.189208348,0.2790752,0.421195312,0.542239913,0.689311086,0.800147585,0.849855631,0.758917271,0.788480599,0.895491909,0.946230671,-0.000140706,0.000382821,0.068,0.006957011,0.010528662,0.000412501,0.009665866,0.000198099,0.060003877,0.17984837,0.27094345,0.476148446,0.634571233,0.737041081,0.801445379,0.855967225,0.899836228,0.938753801,0.971939348,0.290730526,0.394066358,0.55519466,0.677877932,0.801900149,0.885830883,0.922575003,0.655384528,0.701339107,0.844142386,0.922821728,400,43,1703,0.000794182,44,17,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,503663
4,"Albuquerque, NM Urbanized Area",0.060578758,0.263173063,0.293580894,0.376494129,0.465020284,0.549389135,0.625403893,0.698218285,0.77359757,0.854366554,0.930578108,0.191509216,0.298954715,0.467147675,0.598775523,0.741647533,0.83555972,0.874778225,0.414016118,0.730346141,0.759386765,0.782292355,0.000113694,0.001736255,0.0784,0.007144228,0.011691039,0.00038242,0.008050828,0.000232731,0.074778039,0.2369485,0.281392086,0.435000359,0.58803316,0.690545925,0.761711187,0.818348125,0.875415285,0.925530839,0.966407613,0.24719605,0.380913849,0.574944447,0.709276021,0.826421891,0.896264489,0.922674356,0.407954118,0.680371728,0.722948723,0.745534406,400,71,2567,0.000621793,44,16,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,643301
5,"Allentown, PA--NJ Urbanized Area",0.055649595,0.256683572,0.292703649,0.372434758,0.44621368,0.520097676,0.591936676,0.671966457,0.757089837,0.845406117,0.927013456,0.19415579,0.29348015,0.45912225,0.592508533,0.73671301,0.835561561,0.875737278,0.731408404,0.823825162,0.885654375,0.915974708,0.000694216,0.001942288,0.0832,0.011016351,0.010038695,0.00010171,0.00909414,0.000219594,0.07849765,0.245177446,0.325133618,0.476877281,0.610154279,0.717266189,0.792474404,0.844386836,0.890899629,0.937495972,0.971918065,0.299329148,0.408436824,0.570046487,0.708786351,0.840345535,0.905643457,0.934176044,0.561639217,0.70399866,0.808372374,0.842169052,400,50,1605,0.000719689,44,19,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,555796
6,"Amarillo, TX Urbanized Area",0.07220742,0.288284081,0.316313049,0.396648962,0.489890823,0.576588969,0.653660538,0.724167587,0.795527711,0.868315407,0.940126343,0.185784333,0.292518689,0.480561679,0.624456822,0.764056295,0.857532726,0.8939547,0.570674864,0.825874417,0.897434678,0.933063026,-0.000991127,0.002260486,0.0482,0.005635601,0.014604524,0.00034927,0.0085592,0.000194729,0.095023239,0.28979682,0.328502443,0.473100809,0.611160489,0.717126828,0.789810973,0.848744063,0.893960066,0.935411371,0.970482504,0.226811417,0.348765718,0.569016196,0.712059832,0.844381933,0.905586484,0.935552879,0.490838384,0.784482111,0.883629244,0.922319369,400,71,2131,0.002311858,44,9,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,173021
7,"Ann Arbor, MI Urbanized Area",0.051549477,0.212711254,0.278265401,0.436214236,0.528829383,0.607848254,0.677180591,0.743729341,0.811827821,0.879428277,0.9426759,0.207409471,0.298793229,0.439343475,0.566395543,0.691831155,0.790481251,0.832210842,0.661478569,0.694696889,0.851143708,0.943858479,-0.005949598,0.00220379,0.076,0.014142136,0.012636801,0.000128076,0.009404318,0.000171335,0.040102599,0.129517608,0.289645575,0.617370518,0.752896199,0.833170722,0.880809087,0.918772915,0.944348304,0.967615463,0.986831024,0.293724763,0.409178296,0.569515389,0.722100207,0.823757054,0.911704319,0.935816633,0.612935824,0.650993399,0.807038213,0.932316797,400,43,1734,0.001445646,44,13,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,276693
8,"Antioch, CA Urbanized Area",0.061565368,0.291725555,0.326925273,0.409584087,0.481546513,0.554931525,0.632574261,0.711297823,0.793135797,0.872461103,0.942640669,0.19184909,0.298579911,0.453219896,0.568127118,0.694090219,0.794497021,0.839898459,0.343736513,0.522371889,0.662347679,0.769363456,0.007941585,0.002246128,0.111,0.014764823,0.011101066,8.40E-05,0.007104501,0.000178077,0.08201315,0.301685595,0.343574417,0.464712493,0.578969516,0.677924686,0.75278422,0.816999402,0.869422594,0.925159594,0.966005977,0.234358244,0.352580394,0.506955972,0.644077507,0.770320695,0.856091434,0.897173539,0.276895776,0.44107488,0.614760592,0.70936944,400,100,3186,0.001542936,44,9,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,259246
9,"Appleton, WI Urbanized Area",0.06390912,0.269268722,0.297684619,0.369798202,0.450949993,0.53516553,0.612635127,0.68434978,0.76842073,0.857075163,0.935856588,0.169512932,0.257162072,0.418837312,0.561857477,0.726550943,0.847638002,0.894567193,0.878258096,0.906274185,0.920001434,0.957841214,0.000485125,0.001227763,0.0422,0.008423776,0.011683913,0.000157301,0.007527374,0.00020671,0.07681782,0.236782962,0.278268713,0.439441659,0.614382033,0.719254525,0.781188845,0.831022199,0.879494863,0.929251773,0.968513026,0.213028875,0.328899406,0.521889731,0.682388977,0.825635985,0.915504113,0.938577072,0.809874876,0.863984075,0.890267311,0.934316792,400,38,1826,0.00211074,44,10,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,189507
10,"Asheville, NC Urbanized Area",0.055437124,0.2335475,0.262175864,0.34077992,0.423317851,0.505988689,0.587388166,0.666944431,0.747491379,0.831568234,0.916937436,0.192186505,0.312560106,0.510849923,0.657857334,0.799547766,0.879938349,0.909484915,0.821607381,0.880263166,0.94604071,0.958376362,0.011129891,0.001496607,0.0678,0.015157836,0.009955667,6.68E-05,0.010884311,0.000246501,0.05876007,0.192235392,0.242226132,0.390818594,0.540225947,0.647217335,0.719506436,0.779521252,0.838836929,0.904231873,0.953393833,0.258771591,0.382477761,0.587467895,0.734416164,0.848372447,0.910790463,0.934589226,0.813177292,0.867737358,0.943933096,0.957741586,400,60,864,0.001748779,44,16,0.807265389,0.807265389,1.098,0.05,0.04,0.075,0.09,0.0025,0.0025,0.0073,0.0073,228731
